Distributor,Customer Name,City,Country,Channel,Sub-channel,Product Name,Product Class,Quantity,Price,Sales,Month,Year
Gerlach LLC ,"Hahn, Rutherford and Gislason Pharmacy",Wolfenbüttel,Germany,Pharmacy,Retail,Amphesirox,Antiseptics,20.0,25,500.0,January,2019
Gerlach LLC ,Turner Ltd Pharmacy,Dortmund,Germany,Pharmacy,Retail,Effidomide Evofribrate,Antiseptics,10.0,612,6120.0,January,2019
Gerlach LLC ,"Torphy, Pfeffer and Jakubowski Pharmaceutical Ltd",Leipzig,Germany,Pharmacy,Retail,Spiroderall,Mood Stabilizers,10.0,653,6530.0,January,2019
Gerlach LLC ,Emard-O'Connell Pharm,Rosenheim,Germany,Pharmacy,Retail,Diazemid Felcept,Analgesics,1.0,613,613.0,January,2019
Gerlach LLC ,"Torphy, Pfeffer and Jakubowski Pharmaceutical Ltd",Leipzig,Germany,Pharmacy,Retail,Trazobalamin,Mood Stabilizers,3.0,762,2286.0,January,2019
Gerlach LLC ,Walsh-Brown Pharma Plc,Osnabrück,Germany,Pharmacy,Retail,Interfestar,Antibiotics,3.0,62,186.0,January,2019
Gerlach LLC ,Roob PLC Pharmaceutical Limited,Frechen,Germany,Pharmacy,Retail,Tetalamide,Antibiotics,3.0,430,1290.0,January,2019
Gerlach LLC ,Abernathy and Sons ,Freiburg im Breisgau,Germany,Pharmacy,Retail,Pitodomide,Antimalarial,5.0,24,120.0,January,2019
Gerlach LLC ,Barton Ltd Pharmaceutical Limited,Celle,Germany,Pharmacy,Retail,Interfestar,Antibiotics,100.0,62,6200.0,January,2019
Gerlach LLC ,"Hansen, Fadel and Schroeder Pharmaceutical Ltd",Herrenberg,Germany,Pharmacy,Retail,Ampinonide,Antimalarial,2.0,248,496.0,January,2019
Gerlach LLC ,Harris-Conroy Pharmacy,Wilhelmshaven,Germany,Pharmacy,Retail,Diaxolol,Antiseptics,10.0,765,7650.0,January,2019
Gerlach LLC ,"Nolan, DuBuque and Schultz Pharmacy",Wernigerode,Germany,Pharmacy,Retail,Rositroban,Mood Stabilizers,10.0,481,4810.0,January,2019
Gerlach LLC ,"Zieme, Doyle and Kunze Pharm",Stuttgart,Germany,Pharmacy,Retail,Alpharolac,Antipiretics,5.0,533,2665.0,January,2019
Gerlach LLC ,Terry-Kub Pharma Plc,Weimar,Germany,Pharmacy,Retail,Relenstrel Exurabine,Antibiotics,10.0,424,4240.0,January,2019
Gerlach LLC ,"Torphy, Pfeffer and Jakubowski Pharm",Limburg,Germany,Pharmacy,Retail,Belavarix Benzabicin,Antibiotics,2.0,131,262.0,January,2019
Gerlach LLC ,"Nitzsche, Effertz and Maggio Pharmaceutical Limited",Northeim,Germany,Pharmacy,Retail,Diazemid Felcept,Analgesics,20.0,613,12260.0,January,2019
Gerlach LLC ,"Zieme, Doyle and Kunze Pharmacy",Tuttlingen,Germany,Pharmacy,Retail,Lansostral Acgestin,Antiseptics,10.0,627,6270.0,January,2019
Gerlach LLC ,Haley PLC Pharmacy,Kassel,Germany,Pharmacy,Retail,Vibratosine Alemtrace,Antibiotics,3.0,269,807.0,January,2019
Gerlach LLC ,Pfeffer-Hodkiewicz Pharm,Pulheim,Germany,Pharmacy,Retail,Choriogestrel,Antiseptics,50.0,347,17350.0,January,2019
Gerlach LLC ,"Leuschke, Waters and Schowalter Pharma Plc",Herzogenrath,Germany,Pharmacy,Retail,Dexmeprazole Transnuvia,Mood Stabilizers,20.0,180,3600.0,January,2019
Gerlach LLC ,Mills Inc Pharmacy,Bremen,Germany,Pharmacy,Retail,Topitaine,Mood Stabilizers,6.0,517,3102.0,January,2019
Gerlach LLC ,Sauer-Herzog Pharmacy,Winsen,Germany,Pharmacy,Retail,Testant,Mood Stabilizers,6.0,488,2928.0,January,2019
Gerlach LLC ,Pfeffer-Hodkiewicz Pharm,Pulheim,Germany,Pharmacy,Retail,Fosinofen,Antipiretics,5.0,385,1925.0,January,2019
Gerlach LLC ,Sauer-Herzog Pharmacy,Winsen,Germany,Pharmacy,Retail,Eproline,Antibiotics,12.0,780,9360.0,January,2019
Gerlach LLC ,"Kuphal, Herzog and Purdy Pharmaceutical Limited",Erding,Germany,Pharmacy,Retail,Doxivorin,Antimalarial,10.0,516,5160.0,January,2019
Gerlach LLC ,Cartwright-Fay Pharmaceutical Ltd,Wangen im Allgäu,Germany,Pharmacy,Retail,Immurenol Temarate,Antipiretics,5.0,303,1515.0,January,2019
Gerlach LLC ,"Hahn, Rutherford and Gislason Pharmacy",Wolfenbüttel,Germany,Pharmacy,Retail,Sevotrana Tiafoxin,Analgesics,3.0,460,1380.0,January,2019
Gerlach LLC ,Ward Group Pharma Plc,Barsinghausen,Germany,Pharmacy,Retail,Metapatch,Antipiretics,5.0,438,2190.0,January,2019
Gerlach LLC ,Rowe PLC Pharm,Verl,Germany,Pharmacy,Retail,Antilamin Clinbital,Antibiotics,3.0,664,1992.0,January,2019
Gerlach LLC ,Hermiston LLC Pharmaceutical Limited,Gevelsberg,Germany,Pharmacy,Retail,Ketamara Evogel,Antipiretics,2.0,704,1408.0,January,2019
Gerlach LLC ,Hermiston and Sons Pharmaceutical Ltd,Geislingen an der Steige,Germany,Pharmacy,Retail,Menogine,Antiseptics,5.0,742,3710.0,January,2019
Gerlach LLC ,Walsh-Brown Pharma Plc,Osnabrück,Germany,Pharmacy,Retail,Fentalac,Antipiretics,3.0,618,1854.0,January,2019
Gerlach LLC ,Crist LLC Pharma Plc,Neustadt,Germany,Pharmacy,Retail,Aggretisol,Antimalarial,200.0,262,52400.0,January,2019
Gerlach LLC ,Franecki Inc Pharma Plc,Schwerte,Germany,Pharmacy,Retail,Sevoderm,Antipiretics,4.0,663,2652.0,January,2019
Gerlach LLC ,Monahan Ltd Pharmaceutical Ltd,Lüneburg,Germany,Pharmacy,Retail,Hemavate Spirolinum,Mood Stabilizers,3.0,210,630.0,January,2019
Gerlach LLC ,"Steuber, Skiles and Kilback Pharmaceutical Limited",Bonn,Germany,Pharmacy,Retail,Araxetine,Antibiotics,5.0,450,2250.0,January,2019
Gerlach LLC ,Hoeger Ltd Pharm,Lennestadt,Germany,Pharmacy,Retail,Ceretosine,Antiseptics,2.0,343,686.0,January,2019
Gerlach LLC ,Hermiston LLC Pharmaceutical Limited,Gevelsberg,Germany,Pharmacy,Retail,Microroban Afatigomar,Antimalarial,20.0,478,9560.0,January,2019
Gerlach LLC ,Veum-Kerluke Pharma Plc,Wismar,Germany,Pharmacy,Retail,Ceftatana Serolamide,Antipiretics,1.0,595,595.0,January,2019
Gerlach LLC ,Beier PLC ,Heidelberg,Germany,Pharmacy,Retail,Abatatriptan,Antibiotics,10.0,742,7420.0,January,2019
Gerlach LLC ,Huels-Klein ,Peine,Germany,Pharmacy,Retail,Vibratosine Alemtrace,Antibiotics,2.0,269,538.0,January,2019
Gerlach LLC ,Koch-Osinski Pharmacy,Hamminkeln,Germany,Pharmacy,Retail,Hepavice,Mood Stabilizers,3.0,140,420.0,January,2019
Gerlach LLC ,Gleason PLC Pharmaceutical Limited,Niederkassel,Germany,Pharmacy,Retail,Dasagestin,Analgesics,10.0,386,3860.0,January,2019
Gerlach LLC ,Wolff Group ,Pfungstadt,Germany,Pharmacy,Retail,Betanem,Analgesics,5.0,611,3055.0,January,2019
Gerlach LLC ,Cassin PLC Pharma Plc,Mühldorf,Germany,Pharmacy,Retail,Diprolimus,Antiseptics,10.0,634,6340.0,January,2019
Gerlach LLC ,Erdman PLC ,Holzminden,Germany,Pharmacy,Retail,Interzide,Antimalarial,1.0,420,420.0,January,2019
Gerlach LLC ,Abernathy Group Pharmacy,Melle,Germany,Pharmacy,Retail,Cyclovital,Antimalarial,4.0,677,2708.0,January,2019
Gerlach LLC ,"Torphy, Pfeffer and Jakubowski Pharmaceutical Ltd",Leipzig,Germany,Pharmacy,Retail,Aciprex,Antipiretics,3.0,421,1263.0,January,2019
Gerlach LLC ,Mraz Group Pharmaceutical Limited,Schweinfurt,Germany,Pharmacy,Retail,Kinerinex,Antiseptics,3.0,647,1941.0,January,2019
Gerlach LLC ,Hayes-Kilback Pharmaceutical Limited,Springe,Germany,Pharmacy,Retail,Quixitriptan Alanesin,Antiseptics,5.0,79,395.0,January,2019
Gerlach LLC ,Kreiger Inc ,Burgdorf,Germany,Pharmacy,Retail,Quixitriptan Alanesin,Antiseptics,36.0,79,2844.0,January,2019
Gerlach LLC ,Ritchie-Rodriguez Pharmacy,Herford,Germany,Pharmacy,Retail,Aldevac,Analgesics,5.0,26,130.0,January,2019
Gerlach LLC ,Hermiston LLC Pharm,Moers,Germany,Pharmacy,Retail,Acubulin,Antipiretics,30.0,490,14700.0,January,2019
Gerlach LLC ,Koss Ltd Pharma Plc,Dingolfing,Germany,Pharmacy,Retail,Cephozumab Synmethate,Antibiotics,108.0,768,82944.0,January,2019
Gerlach LLC ,"Buckridge, Dach and Carroll ",Friedrichshafen,Germany,Pharmacy,Retail,Novakyn Tracprox,Antiseptics,8.0,288,2304.0,January,2019
Gerlach LLC ,Gottlieb-Cruickshank Pharm,Schwabach,Germany,Pharmacy,Retail,Topitaine,Mood Stabilizers,2.0,517,1034.0,January,2019
Gerlach LLC ,Armstrong Inc Pharma Plc,Passau,Germany,Pharmacy,Retail,Choriogestrel,Antiseptics,36.0,347,12492.0,January,2019
Gerlach LLC ,Rohan Inc Pharmaceutical Limited,Amberg,Germany,Pharmacy,Retail,Claricriptine Adaferol,Antibiotics,1.0,33,33.0,January,2019
Gerlach LLC ,Abernathy and Sons ,Freiburg im Breisgau,Germany,Pharmacy,Retail,Effidomide Evofribrate,Antiseptics,30.0,612,18360.0,January,2019
Gerlach LLC ,Barrows-Kohler Pharma Plc,Coesfeld,Germany,Pharmacy,Retail,Tacrodomide,Antipiretics,20.0,420,8400.0,January,2019
Gerlach LLC ,Hoeger Ltd ,Heidenheim,Germany,Pharmacy,Retail,Ketamara Evogel,Antipiretics,180.0,704,126720.0,January,2019
Gerlach LLC ,Kozey Ltd Pharmacy,Stralsund,Germany,Pharmacy,Retail,Ibruferon,Antiseptics,5.0,82,410.0,January,2019
Gerlach LLC ,Gerlach LLC Pharmacy,Hofheim,Germany,Pharmacy,Retail,Effigine Propraprex,Antimalarial,3.0,377,1131.0,January,2019
Gerlach LLC ,"Nolan, DuBuque and Schultz Pharmacy",Wernigerode,Germany,Pharmacy,Retail,Algluconium Dorzofoxin,Antibiotics,6.0,611,3666.0,January,2019
Gerlach LLC ,"Wunsch, Mills and Walter Pharm",Kempen,Germany,Pharmacy,Retail,Diprolimus,Antiseptics,5.0,634,3170.0,January,2019
Gerlach LLC ,Leffler-Russel Pharmaceutical Ltd,Lingen,Germany,Pharmacy,Retail,Immurenol Temarate,Antipiretics,72.0,303,21816.0,January,2019
Gerlach LLC ,"Hahn, Rutherford and Gislason Pharmacy",Wolfenbüttel,Germany,Pharmacy,Retail,Menogine,Antiseptics,5.0,742,3710.0,January,2019
Gerlach LLC ,Veum-Kerluke Pharma Plc,Wismar,Germany,Pharmacy,Retail,Choriotrisin,Antibiotics,1.0,591,591.0,January,2019
Gerlach LLC ,Cassin PLC Pharmaceutical Limited,Weißenfels,Germany,Pharmacy,Retail,Interfedox Pilobamol,Antiseptics,10.0,41,410.0,January,2019
Gerlach LLC ,McDermott Inc Pharma Plc,Staßfurt,Germany,Pharmacy,Retail,Adalatamine,Antiseptics,72.0,794,57168.0,January,2019
Gerlach LLC ,Funk and Sons Pharmacy,Friedberg,Germany,Pharmacy,Retail,Abobozolid,Antimalarial,100.0,75,7500.0,January,2019
Gerlach LLC ,Osinski-Botsford Pharm,Meerbusch,Germany,Pharmacy,Retail,Kinovatol,Analgesics,200.0,370,74000.0,January,2019
Gerlach LLC ,Lesch PLC Pharma Plc,Königs Wusterhausen,Germany,Pharmacy,Retail,Afaxacin,Analgesics,5.0,60,300.0,January,2019
Gerlach LLC ,Mills Inc Pharmacy,Bremen,Germany,Pharmacy,Retail,Acycpex,Mood Stabilizers,5.0,510,2550.0,January,2019
Gerlach LLC ,"Reinger, Kihn and Goyette Pharma Plc",Euskirchen,Germany,Pharmacy,Retail,Relenvice,Antimalarial,50.0,459,22950.0,January,2019
Gerlach LLC ,Buckridge-Davis Pharmaceutical Ltd,Herne,Germany,Pharmacy,Retail,Abatatriptan,Antibiotics,25.0,742,18550.0,January,2019
Gerlach LLC ,Monahan Ltd Pharma Plc,Güstrow,Germany,Pharmacy,Retail,Quiniprosyn,Antiseptics,50.0,445,22250.0,January,2019
Gerlach LLC ,Emard-O'Connell Pharmaceutical Ltd,Kevelaer,Germany,Pharmacy,Retail,Imiformin Transmunex,Antibiotics,10.0,400,4000.0,January,2019
Gerlach LLC ,Raynor LLC Pharmaceutical Limited,Strausberg,Germany,Pharmacy,Retail,Symdocet,Antipiretics,100.0,470,47000.0,January,2019
Gerlach LLC ,Purdy Ltd Pharm,Korbach,Germany,Pharmacy,Retail,Lioletine Refliruvax,Analgesics,150.0,435,65250.0,January,2019
Gerlach LLC ,Abernathy Group Pharmacy,Melle,Germany,Pharmacy,Retail,Pulmofine,Antibiotics,10.0,688,6880.0,January,2019
Gerlach LLC ,Huels-Klein ,Peine,Germany,Pharmacy,Retail,Ibrulinum,Antipiretics,10.0,190,1900.0,January,2019
Gerlach LLC ,Streich PLC ,Bottrop,Germany,Pharmacy,Retail,Tiaracil,Antipiretics,5.0,162,810.0,January,2019
Gerlach LLC ,"Kertzmann, Quitzon and Harris Pharmaceutical Limited",Forst,Germany,Pharmacy,Retail,Sevoderm,Antipiretics,5.0,663,3315.0,January,2019
Gerlach LLC ,Buckridge-Davis Pharmaceutical Ltd,Herne,Germany,Pharmacy,Retail,Amamadin,Antimalarial,2.0,713,1426.0,January,2019
Gerlach LLC ,"Kuphal, Herzog and Purdy Pharmaceutical Limited",Erding,Germany,Pharmacy,Retail,Aprerase,Antipiretics,5.0,726,3630.0,January,2019
Gerlach LLC ,"Greenholt, Donnelly and O'Reilly Pharmaceutical Ltd",Villingen-Schwenningen,Germany,Pharmacy,Retail,Adriacaine,Mood Stabilizers,2.0,361,722.0,January,2019
Gerlach LLC ,"Kuphal, Herzog and Purdy Pharmaceutical Limited",Erding,Germany,Pharmacy,Retail,Brimorix Amonine,Antibiotics,3.0,398,1194.0,January,2019
Gerlach LLC ,Schuppe Inc ,Bensheim,Germany,Pharmacy,Retail,Raparidol,Mood Stabilizers,36.0,187,6732.0,January,2019
Gerlach LLC ,Ritchie-Rodriguez Pharmacy,Herford,Germany,Pharmacy,Retail,Quixitriptan Alanesin,Antiseptics,20.0,79,1580.0,January,2019
Gerlach LLC ,Hermiston LLC Pharmaceutical Ltd,Weingarten,Germany,Pharmacy,Retail,Syntheruvax Proracin,Antimalarial,24.0,86,2064.0,January,2019
Gerlach LLC ,Hermiston LLC Pharmaceutical Limited,Gevelsberg,Germany,Pharmacy,Retail,Aclonuma,Antimalarial,56.0,474,26544.0,January,2019
Gerlach LLC ,Purdy Ltd ,Erkelenz,Germany,Pharmacy,Retail,Symbitrim,Analgesics,10.0,536,5360.0,January,2019
Gerlach LLC ,"Nitzsche, Effertz and Maggio Pharmaceutical Limited",Northeim,Germany,Pharmacy,Retail,Secrelazine Insonamic,Antipiretics,5.0,694,3470.0,January,2019
Gerlach LLC ,Buckridge-Davis Pharmaceutical Ltd,Herne,Germany,Pharmacy,Retail,Feruprazole,Mood Stabilizers,2.0,115,230.0,January,2019
Gerlach LLC ,Mayert-Weber ,Homburg,Germany,Pharmacy,Retail,Syntheruvax Proracin,Antimalarial,20.0,86,1720.0,January,2019
Gerlach LLC ,Walsh-Brown Pharma Plc,Osnabrück,Germany,Pharmacy,Retail,Abatatriptan,Antibiotics,10.0,742,7420.0,January,2019
Gerlach LLC ,"Erdman, Senger and Oberbrunner Pharmacy",Straubing,Germany,Pharmacy,Retail,Biotasol Siloderm,Antiseptics,100.0,373,37300.0,January,2019
Gerlach LLC ,Buckridge-Davis Pharmaceutical Ltd,Herne,Germany,Pharmacy,Retail,Kiovax Tercorolac,Analgesics,10.0,722,7220.0,January,2019
Gerlach LLC ,Ward Group Pharma Plc,Barsinghausen,Germany,Pharmacy,Retail,Decidenu Galantrigine,Antipiretics,10.0,590,5900.0,January,2019
Gerlach LLC ,Kuhic LLC ,Schleswig,Germany,Pharmacy,Retail,Clinolan Pitoletra,Mood Stabilizers,2.0,130,260.0,January,2019
Gerlach LLC ,Schaefer-Rolfson Pharma Plc,Freiberg,Germany,Pharmacy,Retail,Immurenol Temarate,Antipiretics,30.0,303,9090.0,January,2019
Gerlach LLC ,"Kirlin, Hamill and Dickinson Pharma Plc",Weißenburg,Germany,Pharmacy,Retail,Propratecan,Antimalarial,50.0,682,34100.0,January,2019
Gerlach LLC ,Powlowski-Buckridge Pharmacy,Albstadt,Germany,Pharmacy,Retail,Secrelazine Insonamic,Antipiretics,50.0,694,34700.0,January,2019
Gerlach LLC ,Haley PLC Pharmacy,Kassel,Germany,Pharmacy,Retail,Spiroderall,Mood Stabilizers,10.0,653,6530.0,January,2019
Gerlach LLC ,VonRueden-Adams Pharm,Delitzsch,Germany,Pharmacy,Retail,Malaxolol Aeroprosyn,Antiseptics,5.0,502,2510.0,January,2019
Gerlach LLC ,Okuneva-Corkery Pharma Plc,Bornheim,Germany,Pharmacy,Retail,Amamadin,Antimalarial,10.0,713,7130.0,January,2019
Gerlach LLC ,Schulist-Zulauf Pharmaceutical Ltd,Kornwestheim,Germany,Pharmacy,Retail,Proderal,Antiseptics,10.0,34,340.0,January,2019
Gerlach LLC ,Mraz Group Pharmaceutical Limited,Schweinfurt,Germany,Pharmacy,Retail,Alisteride Pemidizem,Antiseptics,10.0,35,350.0,January,2019
Gerlach LLC ,"Erdman, Senger and Oberbrunner Pharmacy",Straubing,Germany,Pharmacy,Retail,Aciprex,Antipiretics,5.0,421,2105.0,January,2019
Gerlach LLC ,Waelchi LLC Pharm,Sinsheim,Germany,Pharmacy,Retail,Vibratosine Alemtrace,Antibiotics,10.0,269,2690.0,January,2019
Gerlach LLC ,"Buckridge, Dach and Carroll Pharmaceutical Ltd",Baunatal,Germany,Pharmacy,Retail,Pentastrin,Antibiotics,4.0,497,1988.0,January,2019
Gerlach LLC ,"Leuschke, Waters and Schowalter Pharma Plc",Herzogenrath,Germany,Pharmacy,Retail,Penitrana,Analgesics,5.0,179,895.0,January,2019
Gerlach LLC ,Funk and Sons Pharmacy,Friedberg,Germany,Pharmacy,Retail,Hydroxyprosyn,Antibiotics,20.0,220,4400.0,January,2019
Gerlach LLC ,Harris-Conroy Pharm,Oelde,Germany,Pharmacy,Retail,Agalsiline,Mood Stabilizers,10.0,64,640.0,January,2019
Gerlach LLC ,Raynor LLC Pharm,Hilden,Germany,Pharmacy,Retail,Sevoderm,Antipiretics,40.0,663,26520.0,January,2019
Gerlach LLC ,Dach Ltd Pharm,Saarlouis,Germany,Pharmacy,Retail,Adideine,Mood Stabilizers,15.0,678,10170.0,January,2019
Gerlach LLC ,Monahan Ltd Pharmaceutical Ltd,Lüneburg,Germany,Pharmacy,Retail,Angioparin Brimosumab,Mood Stabilizers,10.0,682,6820.0,January,2019
Gerlach LLC ,Powlowski-Buckridge Pharmacy,Albstadt,Germany,Pharmacy,Retail,Aspinavir Silovance,Antibiotics,2.0,549,1098.0,January,2019
Gerlach LLC ,Haley PLC Pharmacy,Kassel,Germany,Pharmacy,Retail,Thalilamide,Antibiotics,100.0,615,61500.0,January,2019
Gerlach LLC ,"Nolan, DuBuque and Schultz Pharmacy",Wernigerode,Germany,Pharmacy,Retail,Kiovax Tercorolac,Analgesics,14.0,722,10108.0,January,2019
Gerlach LLC ,Abernathy and Sons ,Freiburg im Breisgau,Germany,Pharmacy,Retail,Magnemunex,Antiseptics,3.0,689,2067.0,January,2019
Gerlach LLC ,Koss Ltd Pharma Plc,Dingolfing,Germany,Pharmacy,Retail,Dexmeprazole Transnuvia,Mood Stabilizers,5.0,180,900.0,January,2019
Gerlach LLC ,Veum-Kerluke Pharma Plc,Wismar,Germany,Pharmacy,Retail,Adrecetam Barazoxane,Antimalarial,10.0,24,240.0,January,2019
Gerlach LLC ,Gleason PLC Pharma Plc,Bad Reichenhall,Germany,Pharmacy,Retail,Aldevac,Analgesics,2.0,26,52.0,January,2019
Gerlach LLC ,Cartwright-Fay Pharmaceutical Ltd,Wangen im Allgäu,Germany,Pharmacy,Retail,Sevoderm,Antipiretics,5.0,663,3315.0,January,2019
Gerlach LLC ,"Hahn, Rutherford and Gislason Pharm",Kulmbach,Germany,Pharmacy,Retail,Betanem,Analgesics,10.0,611,6110.0,January,2019
Gerlach LLC ,Emard-O'Connell Pharmaceutical Ltd,Kevelaer,Germany,Pharmacy,Retail,Adriacaine,Mood Stabilizers,30.0,361,10830.0,January,2019
Gerlach LLC ,Turner Ltd Pharmacy,Dortmund,Germany,Pharmacy,Retail,Fentatrol Rapatelase,Antibiotics,5.0,458,2290.0,January,2019
Gerlach LLC ,Harris-Conroy Pharmacy,Wilhelmshaven,Germany,Pharmacy,Retail,Sodinel Olofribrate,Antimalarial,30.0,50,1500.0,January,2019
Gerlach LLC ,Mraz Group Pharmaceutical Limited,Schweinfurt,Germany,Pharmacy,Retail,Diazemid Felcept,Analgesics,5.0,613,3065.0,January,2019
Gerlach LLC ,"Will, McGlynn and Fritsch Pharmaceutical Ltd",Bitterfeld,Germany,Pharmacy,Retail,Panpion,Antiseptics,10.0,692,6920.0,January,2019
Gerlach LLC ,Harris-Conroy Pharm,Oelde,Germany,Pharmacy,Retail,Darlofen,Antipiretics,2.0,577,1154.0,January,2019
Gerlach LLC ,"Spinka, Schowalter and Conn ",Bergheim,Germany,Pharmacy,Retail,Symbitrim,Analgesics,10.0,536,5360.0,January,2019
Gerlach LLC ,Kreiger Inc ,Burgdorf,Germany,Pharmacy,Retail,Quiniprosyn,Antiseptics,2.0,445,890.0,January,2019
Gerlach LLC ,Armstrong Inc Pharma Plc,Passau,Germany,Pharmacy,Retail,Lactubucil,Antipiretics,10.0,585,5850.0,January,2019
Gerlach LLC ,"Buckridge, Dach and Carroll ",Friedrichshafen,Germany,Pharmacy,Retail,Amphesirox,Antiseptics,1.0,25,25.0,January,2019
Gerlach LLC ,West Group Pharma Plc,Aschersleben,Germany,Pharmacy,Retail,Xenaderal,Mood Stabilizers,30.0,311,9330.0,January,2019
Gerlach LLC ,"Fritsch, Hodkiewicz and Sipes Pharmacy",Haldensleben,Germany,Pharmacy,Retail,Ibruferon,Antiseptics,2.0,82,164.0,January,2019
Gerlach LLC ,Schuppe Inc ,Bensheim,Germany,Pharmacy,Retail,Fentalac,Antipiretics,2.0,618,1236.0,January,2019
Gerlach LLC ,"Kirlin, Hamill and Dickinson Pharma Plc",Weißenburg,Germany,Pharmacy,Retail,Lovavatol Azelavarix,Mood Stabilizers,3.0,106,318.0,January,2019
